[[648 274]] , [[648 278]]
[[526 518]] , [[526 525]]
[[494 518]] , [[494 522]]
[[665 526]] , [[666 525]]
[[518 516]] , [[518 517]]
[[478 516]] , [[478 523]]
[[320 528]] , [[320 533]]
[[507 517]] , [[506 518]]
[[651 724]] , [[652 723]]
[[478 516]] , [[478 521]]
[[480 516]] , [[480 527]]
[[788 514]] , [[787 515]]
[[526 520]] , [[526 525]]
[[776 514]] , [[776 515]]
[[382 516]] , [[382 521]]
[[482 516]] , [[482 517]]
[[526 520]] , [[526 525]]
[[829 524]] , [[830 523]]
[[526 520]] , [[526 525]]
[[658 518]] , [[658 519]]
[[332 522]] , [[332 523]]
[[379 516]] , [[379 521]]
[[768 513]] , [[767 514]]
[[750 514]] , [[750 515]]
[[500 518]] , [[500 522]]
[[821 538]] , [[822 537]]
[[410 259]] , [[410 263]]
[[726 256]] , [[726 257]]
[[766 514]] , [[766 515]]
[[665 530]] , [[666 529]]
[[602 267]] , [[601 268]]
[[526 256]] , [[526 261]]
[[638 518]] , [[638 525]]
[[750 514]] , [[750 515]]
[[690 256]] , [[690 260]]
[[666 258]] , [[666 262]]
[[750 154]] , [[750 159]]
[[379 513]] , [[379 517]]
[[710 516]] , [[710 517]]
[[650 535]] , [[649 536]]
[[798 510]] , [[797 511]]
[[834 624]] , [[834 631]]
[[794 510]] , [[794 511]]
[[646 516]] , [[646 517]]
[[646 516]] , [[646 517]]
[[750 160]] , [[750 161]]
[[654 534]] , [[654 537]]
[[646 516]] , [[646 517]]
[[375 511]] , [[375 515]]
[[698 273]] , [[698 277]]
[[752 160]] , [[752 165]]
[[622 258]] , [[622 262]]
[[376 513]] , [[376 519]]
[[539 262]] , [[539 266]]
[[757   3]] , [[757   7]]
[[623 273]] , [[623 277]]
[[648 274]] , [[648 278]]
[[843 544]] , [[844 543]]
[[651 273]] , [[651 277]]
[[650 273]] , [[650 277]]
[[1000  435]] , [[1000  439]]
[[752 157]] , [[752 163]]
[[610 258]] , [[610 262]]
[[294 668]] , [[294 685]]
[[480 534]] , [[480 535]]
[[825 530]] , [[826 529]]
[[800 514]] , [[800 515]]
[[659 530]] , [[660 529]]
[[659 530]] , [[660 529]]
[[800 514]] , [[800 515]]
[[480 512]] , [[480 513]]
[[654 258]] , [[654 262]]
[[802 514]] , [[801 515]]
[[774 514]] , [[774 515]]
[[294 584]] , [[294 591]]
[[480 534]] , [[480 535]]
[[776 512]] , [[776 513]]
[[776 512]] , [[776 513]]
[[526 520]] , [[526 527]]
[[502 518]] , [[502 523]]
[[378 516]] , [[378 521]]
[[803 526]] , [[804 525]]
[[667 530]] , [[668 529]]
[[826 534]] , [[826 541]]
[[526 520]] , [[526 527]]
[[802 514]] , [[802 515]]
[[802 514]] , [[802 515]]
[[502 518]] , [[502 523]]
[[731 256]] , [[731 260]]
[[758 514]] , [[758 515]]
[[478 514]] , [[478 519]]
[[667 530]] , [[668 529]]
[[514 516]] , [[514 519]]
[[453 512]] , [[453 518]]
[[778 536]] , [[778 541]]
[[514 516]] , [[514 519]]
[[778 536]] , [[778 541]]
[[379 514]] , [[379 517]]
[[802 513]] , [[801 514]]
[[453 512]] , [[453 518]]
[[380 516]] , [[380 521]]
[[738 152]] , [[738 156]]
[[502 514]] , [[501 515]]
[[744 152]] , [[744 156]]
[[640 264]] , [[640 269]]
[[473 514]] , [[473 519]]
[[659 530]] , [[660 529]]
[[833 542]] , [[834 541]]
[[839 642]] , [[840 641]]
[[766 128]] , [[765 129]]
[[728 274]] , [[728 279]]
[[484 514]] , [[484 515]]
[[374 515]] , [[373 516]]
[[792 512]] , [[792 513]]
[[758 128]] , [[758 133]]
[[658 275]] , [[658 279]]
[[698 275]] , [[698 279]]
[[514 516]] , [[514 523]]
[[786 514]] , [[786 515]]
[[756 514]] , [[756 515]]
[[494 514]] , [[494 523]]
[[996 418]] , [[996 422]]
[[694 168]] , [[693 169]]
[[778 512]] , [[778 513]]
[[768 130]] , [[768 134]]
[[478 514]] , [[478 519]]
[[815 522]] , [[816 521]]
[[379 516]] , [[379 517]]
[[768 512]] , [[768 513]]
[[794 512]] , [[794 513]]
[[636 258]] , [[636 262]]
[[833 522]] , [[834 521]]
[[784 514]] , [[783 515]]
[[842 557]] , [[842 561]]
[[480 516]] , [[480 521]]
[[524 520]] , [[524 525]]
[[786 514]] , [[786 515]]
[[480 516]] , [[480 521]]
[[638 258]] , [[638 262]]
[[379 516]] , [[379 517]]
[[803 520]] , [[804 519]]
[[480 516]] , [[480 521]]
[[696 258]] , [[696 262]]
[[304 536]] , [[304 548]]
[[496 516]] , [[496 521]]
[[526 518]] , [[526 519]]
[[762 514]] , [[762 515]]
[[305 536]] , [[305 544]]
[[762 514]] , [[762 515]]
[[482 526]] , [[482 531]]
[[294 696]] , [[294 697]]
[[526 518]] , [[526 525]]
[[526 518]] , [[526 525]]
[[494 518]] , [[494 522]]
[[665 526]] , [[666 525]]
[[518 516]] , [[518 517]]
[[478 516]] , [[478 523]]
[[320 528]] , [[320 533]]
[[507 517]] , [[506 518]]
[[651 724]] , [[652 723]]
[[478 516]] , [[478 521]]
[[480 516]] , [[480 527]]
[[788 514]] , [[787 515]]
[[526 520]] , [[526 525]]
[[776 514]] , [[776 515]]
[[382 516]] , [[382 521]]
[[482 516]] , [[482 517]]
[[526 520]] , [[526 525]]
[[829 524]] , [[830 523]]
[[526 520]] , [[526 525]]
[[658 518]] , [[658 519]]
[[332 522]] , [[332 523]]
[[379 516]] , [[379 521]]
[[768 513]] , [[767 514]]
[[750 514]] , [[750 515]]
[[500 518]] , [[500 522]]
[[821 538]] , [[822 537]]
[[410 259]] , [[410 263]]
[[726 256]] , [[726 257]]
[[766 514]] , [[766 515]]
[[665 530]] , [[666 529]]
[[602 267]] , [[601 268]]
[[526 256]] , [[526 261]]
[[638 518]] , [[638 525]]
[[750 514]] , [[750 515]]
[[690 256]] , [[690 260]]
[[666 258]] , [[666 262]]
[[750 154]] , [[750 159]]
[[379 513]] , [[379 517]]
[[710 516]] , [[710 517]]
[[650 535]] , [[649 536]]
[[798 510]] , [[797 511]]
[[834 624]] , [[834 631]]
[[794 510]] , [[794 511]]
[[646 516]] , [[646 517]]
[[646 516]] , [[646 517]]
[[750 160]] , [[750 161]]
[[654 534]] , [[654 537]]
[[646 516]] , [[646 517]]
[[375 511]] , [[375 515]]
[[698 273]] , [[698 277]]
[[752 160]] , [[752 165]]
[[622 258]] , [[622 262]]
[[376 513]] , [[376 519]]
[[539 262]] , [[539 266]]
[[757   3]] , [[757   7]]
[[623 273]] , [[623 277]]
